Project ID,Project Name,Implementing Agency,Program,Project Description,Total Cost,SB 1 Funds,Fiscal Year,Is SB 1?,Project Status,Assembly Districts,Senate Districts,Counties,Cities,Caltrans Districts,Is on SHS?,Date Updated
'0416000281,Safe Routes to Schools - Alameda County Unincorporated Areas,Alameda County,Active Transportation Program,To bring much needed physical activity and greenhouse gas reduction to historically undeserved areas of the county through a vigorous and comprehensive Safe Routes to School program. Provide comprehensive pedestrian and bicycle safety education; three major events per year.,668000,0,14/15,N,Completed,"15, 16, 18, 20, 25","07, 09, 10",Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0416000254,Hillside Elementary School Safe Routes to School Project,Alameda County,Active Transportation Program,"Hillside Elementary School SRTS Project will improve pedestrian access and promote walking in a disadvantaged community by constructing new sidewalk, curb, and gutter along 162nd Avenue between Liberty  Street and East 14th Street.",970000,0,14/15,N,Completed,"15, 16, 18, 20, 25","07, 09, 10",Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0415000223,"Be Oakland, Be Active: A Comprehensive Safe Routes to School Program",Alameda County,Active Transportation Program,Comprehensive program that promotes active transportation and healthy lifestyles to address public health concerns faced by Alameda County's poorest residents with specific interest in its children.,988000,0,14/15,N,Completed,15,9,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0419000148,Active Oakland: Comprehensive Safe Routes to School Program,Alameda County,Active Transportation Program,"Active Oakland will provide a range of program services and activities for participating schools, including:  educational seminars, enhanced traffic safety patrols, participatory activities e.g. Golden Sneaker contests, and participatory learning and program leadership and design amongst middle schoolers.  The project goal is to increase walking or biking by 15%.",977000,977000,16/17,Y,Planned,"15, 18",9,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'ATP4-04-076M,Active and Safe Oakland,Alameda County,Active Transportation Program,Will bring Safe Routes to School and Safety Patrol programming to 18 disadvantaged elementary schools that have not adopted and maintained such programs.,999000,999000,18/19,Y,Planned,"15, 18",9,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0416000236,Ashland Avenue Bicycle and Pedestrian Safe Routes to School Project,Alameda County,Active Transportation Program,"Widen sidewalks under the bridge and construct Class II Bike Lanes on Ashland Avenue between Ano Avenue and East 14th Street. Also remove active transportation barriers and increase transportation access to the local commercial districts and the adjacent elementary, middle and high schools.",910000,0,14/15,N,Completed,18,10,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0417000336,Creekside Middle School Safe Routes to School,Alameda County,Active Transportation Program,"Installing sidewalks, curbs, gutters, crosswalks and Class III bike routes.",647000,0,15/16,N,In Progress,18,10,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0418000117,Castro Valley Elementary Safe Routes to School,Alameda County,Active Transportation Program,"Installing sidewalks, curbs, gutters, and crosswalks.",2530000,0,15/16,N,Planned,18,10,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0418000118,Stanton Elementary School Safe Routes to School,Alameda County,Active Transportation Program,"Installing sidewalks, curbs, gutters, crosswalks and Class III bike routes.",2349000,0,15/16,N,Planned,18,10,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0419000151,Somerset Avenue Safe Routes to School Corridor,Alameda County,Active Transportation Program,"The Somerset Avenue School Corridor SRTS project is located in CastroValley, CA along Somerset Avenue between Stanton Avenue and Redwood Road.",4207000,330000,16/17,Y,Planned,18,10,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'ATP5-04-102M,E. Lewelling Boulevard Safe and Complete Street for Active Transportation,Alameda County,Active Transportation Program,"Close sidewalk gaps, close bikeway gap with Class IV separated bikeways, and enhance crosswalks with bulb-outs and ADA ramps.",9233000,2996000,20/21,Y,Planned,20,10,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0419000150,Lewelling Boulevard Safe Routes to School Corridor,Alameda County,Active Transportation Program,"The Lewelling Bl. Safe Routes to School project will increase walking and biking, as well as reduce injuries along Lewelling Bl. between Meekland Ave. and E. 14th St. by installing sidewalks, curbs, gutters, sidewalks and Class II bike lanes.",3065000,400000,16/17,Y,Planned,20,10,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'0419000149,D Street Improvement project,Alameda County,Active Transportation Program,"The D Street Improvement project will reduce injuries as well as increase walking and biking along D St. between Fairview Ave. and Hayward City Limits by installing sidewalks, curbs, gutters and crosswalks.",3306000,542000,16/17,Y,Planned,20,10,Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'LSR-216,Slurry seal,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Slurry seal 27 roadways; approximately 281,400 feet of roadway",640851,47004,18/19,Y,Completed,20,10,Alameda,,4,N,6/30/2021
'LSR-217,Resurfacing of Various Roadways in Alameda County,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Resurface approximately 21000 feet of roadway",1543587,1205745,18/19,Y,Completed,16,7,Alameda,,4,N,6/30/2021
'LSR-215,Asphalt rubber street seal,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Asphalt rubber street seal 8 roadways approximately 9700 feet of roadway",611666,237632,18/19,Y,Completed,20,10,Alameda,,4,N,6/30/2021
